year,total snowfall,max snow on ground,average temperature
,,,
1949,0,0,41.00
1950,2.3,2,28.00
1951,1.9,4,31.00
1952,2.4,2,30.00
1953,0.4,0,32.46
1954,0,0,36.00
1955,0,0,27.00
1956,1.4,1,28.00
1957,0,0,30.00
1958,0.8,0,28.00
1959,1.2,3,33.00
1960,3,4,25.00
1961,3.1,5,23.00
1962,6.5,7,22.00
1963,1.4,6,25.00
1964,0.9,1,36.00
1965,0,0,36.00
1966,1.2,17,26.00
1967,10.4,7,18.00
1968,2.8,2,23.00
1969,15.8,11,23.00
1970,8.6,8,24.00
1971,1.8,1,35.00
1972,0,0,35.00
1973,1.2,1,33.00
1974,4.7,2,33.00
1975,1.9,1,29.00
1976,5.6,5,21.00
1977,1.6,2,26.00
1978,2.6,3,29.00
1979,0.4,0,35.00
1980,5.9,3,20.00
1981,0.2,1,31.00
1982,0,0,37.00
1983,0,0,23.00
1984,4.8,2,37.00
1985,0.9,0,28.00
1986,6.1,5,31.00
1987,4.1,2,25.00
1988,3.9,1,30.00
1989,2.4,3,28.00
1990,8.8,9,29.00
1991,0,0,36.00
1992,0,0,35.00
1993,5.3,3,23.00
1994,0,0,31.00
1995,3.2,6,22.00
1996,0,0,36.00
1997,2.5,2.5,36.00
1998,0,0,26.00
1999,0,0,33.00
2000,7.5,9,21.00
2001,4,4,26.00
2002,9.1,6.6,31.62
2003,0,0,37.00
2004,1.4,1.4,34.00
2005,2,2,37.00
2006,0,0,41.00
2007,0.7,0,31.73
2008,0,1,33.00
2009,3,3,28.00
2010,2.8,3,29.00
2011,0,0,34.00
2012,4.6,3,30.00
2013,7.8,7.1,25.00
2014,1.6,0,33.00
2015,0,0,37.00
2016,1.4,1.2,35.00
2017,2.2,1.2,17.00
2018,0,0,39.00
,,,
summary,2.57,2.50,29.97
